file,multithreading,num_threads,max_depth,max_num_nodes,elapsed_time_arith_mean,elapsed_time_geom_mean,terminal_calls_arith_mean,terminal_calls_geom_mean,cache_hits_arith_mean,cache_hits_geom_mean,cache_misses_arith_mean,cache_misses_geom_mean
hepatitis,root,4,5,24,0.271592116,0.270836389,4657,4657,2579,2579,11329,11329
kr-vs-kp,none,1,4,15,0.562684631,0.562515358,1000,1000,36,36,2470,2470
kr-vs-kp,none,1,5,24,11.01835394,11.01097429,14459,14459,6125,6125,54284,54284
kr-vs-kp,root,2,4,15,0.371007776,0.370118539,972,972,30,30,2476,2476
kr-vs-kp,root,2,5,24,6.386343074,6.385479933,14786,14786,6289,6289,59581,59581
kr-vs-kp,root,3,4,15,0.346303558,0.345735658,1030,1030,20,20,2536,2536
kr-vs-kp,root,3,5,24,5.338431525,5.338245519,16188,16188,6964,6964,61648,61647
kr-vs-kp,root,4,4,15,0.312892032,0.31279989,1009,1008,40,40,2522,2522
kr-vs-kp,root,4,5,24,4.565423894,4.565203954,15942,15942,6660,6660,60107,60107
lymph,none,1,4,15,0.18102386,0.180490301,827,827,12,12,2173,2173
lymph,none,1,5,24,0.371160746,0.371001139,3485,3485,1317,1317,10077,10077
lymph,root,2,4,15,0.136778426,0.136711177,843,843,13,13,2323,2323
lymph,root,2,5,24,0.343211579,0.341363748,4882,4868,1741,1738,14898,14853
lymph,root,3,4,15,0.138641095,0.138495348,1012,1012,26,26,2623,2623
lymph,root,3,5,24,0.469881201,0.466705841,8778,8769,2955,2950,26799,26766
lymph,root,4,4,15,0.127406955,0.127220729,817,816,14,13,2270,2270
lymph,root,4,5,24,0.389614201,0.388118981,6645,6633,2180,2178,20555,20504
mushroom,none,1,4,15,0.794379973,0.792461068,441,441,4,4,1206,1206
mushroom,none,1,5,24,3.043251061,3.043101325,2002,2002,236,236,6303,6303
mushroom,root,2,4,15,0.317508197,0.317081356,164,164,0,0,432,432
mushroom,root,2,5,24,3.621759534,3.608541349,3689,3689,339,339,12441,12441
mushroom,root,3,4,15,0.323549962,0.323294497,129,129,0,0,322,322
mushroom,root,3,5,24,3.338815999,3.333270154,2103,2103,237,237,6691,6691
mushroom,root,4,4,15,0.3442137,0.343725291,237,237,1,0,616,616
mushroom,root,4,5,24,4.35939858,4.350921955,5774,5774,619,619,18761,18761
