run,path,program,task,file,max_depth,max_num_nodes,status,elapsed_time,output
1,pydl8.5/core/build,./dl85,accuracy,audiology,5,,Success,9.941525936,"(nFeats, nTransactions) : ( 148, 216 )
Class Distribution: 0:159, 1:57
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 11, ""left"": {""feat"": 29, ""left"": {""feat"": 19, ""left"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 1}}, ""right"": {""feat"": 15, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}, ""right"": {""feat"": 2, ""left"": {""feat"": 67, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 69, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""feat"": 119, ""left"": {""feat"": 134, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 63, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}}
Size: 25
Depth: 4
Error: 1
Accuracy: 0.99537
CacheSize: 15922
RunTime: 9.915072
Timeout: False"
2,pydl8.5/core/build,./dl85,accuracy,audiology,5,,Success,9.214995146,"(nFeats, nTransactions) : ( 148, 216 )
Class Distribution: 0:159, 1:57
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 11, ""left"": {""feat"": 29, ""left"": {""feat"": 19, ""left"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 1}}, ""right"": {""feat"": 15, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}, ""right"": {""feat"": 2, ""left"": {""feat"": 67, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 69, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""feat"": 119, ""left"": {""feat"": 134, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 63, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}}
Size: 25
Depth: 4
Error: 1
Accuracy: 0.99537
CacheSize: 15922
RunTime: 9.166707
Timeout: False"
3,pydl8.5/core/build,./dl85,accuracy,audiology,5,,Success,8.286768913,"(nFeats, nTransactions) : ( 148, 216 )
Class Distribution: 0:159, 1:57
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 11, ""left"": {""feat"": 29, ""left"": {""feat"": 19, ""left"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 1}}, ""right"": {""feat"": 15, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}, ""right"": {""feat"": 2, ""left"": {""feat"": 67, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 69, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""feat"": 119, ""left"": {""feat"": 134, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 63, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}}
Size: 25
Depth: 4
Error: 1
Accuracy: 0.99537
CacheSize: 15922
RunTime: 8.258568
Timeout: False"
4,pydl8.5/core/build,./dl85,accuracy,audiology,5,,Success,8.630110741,"(nFeats, nTransactions) : ( 148, 216 )
Class Distribution: 0:159, 1:57
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 11, ""left"": {""feat"": 29, ""left"": {""feat"": 19, ""left"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 1}}, ""right"": {""feat"": 15, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}, ""right"": {""feat"": 2, ""left"": {""feat"": 67, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 69, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""feat"": 119, ""left"": {""feat"": 134, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 63, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}}
Size: 25
Depth: 4
Error: 1
Accuracy: 0.99537
CacheSize: 15922
RunTime: 8.601926
Timeout: False"
5,pydl8.5/core/build,./dl85,accuracy,audiology,5,,Success,8.31298542,"(nFeats, nTransactions) : ( 148, 216 )
Class Distribution: 0:159, 1:57
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 11, ""left"": {""feat"": 29, ""left"": {""feat"": 19, ""left"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 1}}, ""right"": {""feat"": 15, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}, ""right"": {""feat"": 2, ""left"": {""feat"": 67, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 69, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""feat"": 119, ""left"": {""feat"": 134, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 63, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}}
Size: 25
Depth: 4
Error: 1
Accuracy: 0.99537
CacheSize: 15922
RunTime: 8.284053
Timeout: False"
6,pydl8.5/core/build,./dl85,accuracy,audiology,5,,Success,8.104292393,"(nFeats, nTransactions) : ( 148, 216 )
Class Distribution: 0:159, 1:57
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 11, ""left"": {""feat"": 29, ""left"": {""feat"": 19, ""left"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 1}}, ""right"": {""feat"": 15, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}, ""right"": {""feat"": 2, ""left"": {""feat"": 67, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 69, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""feat"": 119, ""left"": {""feat"": 134, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 63, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}}
Size: 25
Depth: 4
Error: 1
Accuracy: 0.99537
CacheSize: 15922
RunTime: 8.07629
Timeout: False"
7,pydl8.5/core/build,./dl85,accuracy,audiology,5,,Success,8.111092806,"(nFeats, nTransactions) : ( 148, 216 )
Class Distribution: 0:159, 1:57
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 11, ""left"": {""feat"": 29, ""left"": {""feat"": 19, ""left"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 1}}, ""right"": {""feat"": 15, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}, ""right"": {""feat"": 2, ""left"": {""feat"": 67, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 69, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""feat"": 119, ""left"": {""feat"": 134, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 63, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}}
Size: 25
Depth: 4
Error: 1
Accuracy: 0.99537
CacheSize: 15922
RunTime: 8.082644
Timeout: False"
8,pydl8.5/core/build,./dl85,accuracy,audiology,5,,Success,8.109731436,"(nFeats, nTransactions) : ( 148, 216 )
Class Distribution: 0:159, 1:57
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 11, ""left"": {""feat"": 29, ""left"": {""feat"": 19, ""left"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 1}}, ""right"": {""feat"": 15, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}, ""right"": {""feat"": 2, ""left"": {""feat"": 67, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 69, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""feat"": 119, ""left"": {""feat"": 134, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 63, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}}
Size: 25
Depth: 4
Error: 1
Accuracy: 0.99537
CacheSize: 15922
RunTime: 8.083514
Timeout: False"
9,pydl8.5/core/build,./dl85,accuracy,audiology,5,,Success,8.117957115,"(nFeats, nTransactions) : ( 148, 216 )
Class Distribution: 0:159, 1:57
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 11, ""left"": {""feat"": 29, ""left"": {""feat"": 19, ""left"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 1}}, ""right"": {""feat"": 15, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}, ""right"": {""feat"": 2, ""left"": {""feat"": 67, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 69, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""feat"": 119, ""left"": {""feat"": 134, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 63, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}}
Size: 25
Depth: 4
Error: 1
Accuracy: 0.99537
CacheSize: 15922
RunTime: 8.090251
Timeout: False"
10,pydl8.5/core/build,./dl85,accuracy,audiology,5,,Success,8.098561287,"(nFeats, nTransactions) : ( 148, 216 )
Class Distribution: 0:159, 1:57
maxdepth: 4 --- minsup: 1
Cache type: Trie
Cache key: Frequent Itemsets
Tree: {""feat"": 11, ""left"": {""feat"": 29, ""left"": {""feat"": 19, ""left"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 1}}, ""right"": {""feat"": 15, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}, ""right"": {""feat"": 2, ""left"": {""feat"": 67, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 69, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}, ""right"": {""feat"": 0, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""feat"": 119, ""left"": {""feat"": 134, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}, ""right"": {""feat"": 63, ""left"": {""value"": 0, ""error"": 0}, ""right"": {""value"": 1, ""error"": 0}}}}}
Size: 25
Depth: 4
Error: 1
Accuracy: 0.99537
CacheSize: 15922
RunTime: 8.072902
Timeout: False"
